size,cores,time 1,impl,,,,,size,impl,time 1,time 2,time 4,time 8,time 10,time 12,time 14,,
2300,2,5.93,2,,,,,,,,,,,,,,,
2500,2,7.07,2,,,,,,,,,,,,,,,
3000,2,10.54,2,,,,,,,,,,,,,,,
3200,2,14.19,2,,,,,,,,,,,,,,,
3600,2,18.42,2,,,,,,,,,,,,,,,
3800,2,20.59,2,,,,,,,,,,,,,,,
4200,2,29.9,2,,,,,,,,,,,,,,,
4500,2,34.78,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 4,impl,,,,,,,,,,,,,,,
900,4,0.56,2,,,,,,,,,,,,,,,
1000,4,0.72,2,,,,,,,,,,,,,,,
1100,4,0.89,2,,,,,,,,,,,,,,,
1200,4,1.08,2,,,,,,,,,,,,,,,
1300,4,1.28,2,,,,,,,,,,,,,,,
1400,4,1.51,2,,,,,,,,,,,,,,,
1500,4,1.74,2,,,,,,,,,,,,,,,
1800,4,2.59,2,,,,,,,,,,,,,,,
2300,4,5.44,2,,,,,,,,,,,,,,,
2500,4,6.5,2,,,,,,,,,,,,,,,
3000,4,9.68,2,,,,,,,,,,,,,,,
3200,4,13.04,2,,,,,,,,,,,,,,,
3600,4,16.93,2,,,,,,,,,,,,,,,
3800,4,18.94,2,,,,,,,,,,,,,,,
4200,4,27.45,2,,,,,,,,,,,,,,,
4500,4,31.95,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 8,impl,,,,,,,,,,,,,,,
900,8,0.55,2,,,,,,,,,,,,,,,
1000,8,0.7,2,,,,,,,,,,,,,,,
1100,8,0.87,2,,,,,,,,,,,,,,,
1200,8,1.06,2,,,,,,,,,,,,,,,
1300,8,1.26,2,,,,,,,,,,,,,,,
1400,8,1.47,2,,,,,,,,,,,,,,,
1500,8,1.7,2,,,,,,,,,,,,,,,
1800,8,2.54,2,,,,,,,,,,,,,,,
2300,8,5.33,2,,,,,,,,,,,,,,,
2500,8,6.36,2,,,,,,,,,,,,,,,
3000,8,9.48,2,,,,,,,,,,,,,,,
3200,8,12.76,2,,,,,,,,,,,,,,,
3600,8,16.57,2,,,,,,,,,,,,,,,
3800,8,18.51,2,,,,,,,,,,,,,,,
4200,8,26.87,2,,,,,,,,,,,,,,,
4500,8,31.27,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
size,cores,time 10,impl,,,,,,,,,,,,,,,
900,10,0.54,2,,,,,,,,,,,,,,,
1000,10,0.69,2,,,,,,,,,,,,,,,
